@relation 'SMILEfeatures-weka.filters.unsupervised.attribute.Remove-V-R685,1441,1432,1442,676,686,684,1440,712,713,671,1446,1584'

@attribute F0finEnv_sma_quartile2 numeric
@attribute F0final_sma_quartile2 numeric
@attribute F0final_sma_amean numeric
@attribute F0final_sma_quartile3 numeric
@attribute F0finEnv_sma_amean numeric
@attribute F0finEnv_sma_quartile3 numeric
@attribute F0finEnv_sma_quartile1 numeric
@attribute F0final_sma_quartile1 numeric
@attribute voicingFinalUnclipped_sma_percentile99.0 numeric
@attribute voicingFinalUnclipped_sma_pctlrange0-1 numeric
@attribute lspFreq_sma[7]_pctlrange0-1 numeric
@attribute F0final_sma_percentile99.0 numeric
@attribute gender {m,f}

@data

183.6923,178.4659,173.8677,205.4412,183.6918,203.3606,161.0443,154.7011,0.87403,0.87403,0.474224,241.3154,f
97.95035,93.94312,82.97585,102.4471,98.34512,102.2945,93.90122,64.47071,0.763608,0.763608,0.297174,117.7937,m
198.2188,198.3824,186.5199,208.3186,197.6226,204.6556,189.698,186.2983,0.836132,0.263943,0.290279,231.2632,f
117.4451,115.612,97.26688,118.3889,118.2844,121.9919,116.7575,77.17241,0.74066,0.74066,0.450437,135.3368,m
113.4892,99.66805,100.969,131.8637,111.8587,129.6867,94.86686,88.35744,0.794966,0.794966,0.255794,145.157,m
171.352,171.8842,171.0459,222.5146,183.3108,215.4121,157.2643,152.6409,0.829443,0.829443,0.323207,247.7773,f
93.1723,87.23709,81.6037,102.5872,95.79855,106.323,87.63788,61.70566,0.771627,0.771627,0.373579,117.839,m
163.9627,165.3512,151.6784,180.2323,165.7576,175.0601,154.8216,141.4967,0.825756,0.825756,0.293987,201.8294,f
180.5703,171.3658,148.8513,187.6558,178.2465,196.5026,163.4505,114.5851,0.802262,0.802262,0.269408,215.1807,f
169.1589,164.9647,154.8186,177.3387,177.7264,185.7742,159.5138,139.4757,0.826159,0.826159,0.320678,284.2846,f
134.8915,130.6325,130.3945,143.9403,142.7449,152.4443,127.2088,114.8503,0.797734,0.797734,0.355074,225.3593,m
249.771,235.9866,205.3917,252.288,246.8363,261.4055,239.1321,169.2155,0.834136,0.834136,0.302182,284.4688,f
158.7238,146.4528,169.478,181.1324,183.7449,191.3563,128.8366,124.4684,0.837346,0.379953,0.451127,609.1354,m
133.6598,110.7703,113.9195,135.1517,133.2562,148.0094,115.3489,104.4414,0.802084,0.563671,0.225728,213.7344,m
106.8273,93.5694,90.08968,114.91,112.9728,125.6574,106.8273,66.39581,0.783371,0.783371,0.497859,136.7649,m
192.8538,188.1586,160.3561,198.4416,185.1408,199.8137,185.4698,131.3546,0.810704,0.810704,0.229033,218.659,f
